transaction_id,property_id,transaction_date,transaction_price,transaction_type,agent_id,title,property_type,bedrooms,bathrooms,size_sqm,location_id,listing_price,status,listed_date,Listed_date,neighborhood,city,state,avg_price_per_sqm,price_per_sqm,transaction_year,transaction_of_month,price_hold
38,20,2023-09-12,245186916,Rent,1008,Commercial in Ada George,Commercial,0,3,383,8,235386870,Rented,2023-01-24,2023-01-24,Ada George,Obio-Akpor,Rivers,480000,640174.7154046998,2023,September,-9800046
39,20,2023-10-23,286640780,Lease,1022,Commercial in Ada George,Commercial,0,3,383,8,235386870,Rented,2023-01-24,2023-01-24,Ada George,Obio-Akpor,Rivers,480000,748409.3472584856,2023,October,-51253910
40,20,2024-06-26,274474594,Sale,1008,Commercial in Ada George,Commercial,0,3,383,8,235386870,Rented,2023-01-24,2023-01-24,Ada George,Obio-Akpor,Rivers,480000,716643.8485639687,2024,June,-39087724
41,21,2024-12-18,770373913,Rent,1025,Land in D-Line,Land,0,0,998,10,799681850,Rented,2024-06-30,2024-06-30,D-Line,Port Harcourt,Rivers,620000,771917.748496994,2024,December,29307937
42,22,2023-09-08,178395323,Sale,1008,Duplex in Rumuokoro,Residential,3,4,402,4,168070368,Rented,2023-01-07,2023-01-07,Rumuokoro,Obio-Akpor,Rivers,450000,443769.46019900497,2023,September,-10324955
43,22,2023-11-28,177692353,Lease,1020,Duplex in Rumuokoro,Residential,3,4,402,4,168070368,Rented,2023-01-07,2023-01-07,Rumuokoro,Obio-Akpor,Rivers,450000,442020.77860696515,2023,November,-9621985
44,22,2024-01-21,171934938,Sale,1013,Duplex in Rumuokoro,Residential,3,4,402,4,168070368,Rented,2023-01-07,2023-01-07,Rumuokoro,Obio-Akpor,Rivers,450000,427698.85074626864,2024,January,-3864570
45,23,2026-03-26,253753520,Sale,1005,Duplex in Woji,Residential,4,2,332,7,232054411,Rented,2025-11-05,2025-11-05,Woji,Obio-Akpor,Rivers,550000,764317.8313253012,2026,March,-21699109
46,23,2026-09-20,232855523,Rent,1019,Duplex in Woji,Residential,4,2,332,7,232054411,Rented,2025-11-05,2025-11-05,Woji,Obio-Akpor,Rivers,550000,701372.0572289156,2026,September,-801112
47,23,2027-08-22,265584057,Lease,1008,Duplex in Woji,Residential,4,2,332,7,232054411,Rented,2025-11-05,2025-11-05,Woji,Obio-Akpor,Rivers,550000,799951.9789156626,2027,August,-33529646
48,24,2026-11-01,38370791,Lease,1009,Flat in Borokiri,Residential,2,1,107,11,39523298,Rented,2026-01-09,2026-01-09,Borokiri,Port Harcourt,Rivers,300000,358605.523364486,2026,November,1152507
49,25,2023-06-08,835673287,Lease,1018,Land in GRA Phase 1,Land,0,0,913,1,785423154,Available,2023-02-09,2023-02-09,GRA Phase 1,Port Harcourt,Rivers,850000,915304.8050383352,2023,June,-50250133
50,25,2023-12-31,919073973,Rent,1013,Land in GRA Phase 1,Land,0,0,913,1,785423154,Available,2023-02-09,2023-02-09,GRA Phase 1,Port Harcourt,Rivers,850000,1006652.7634173055,2023,December,-133650819
51,25,2024-07-11,924622709,Lease,1005,Land in GRA Phase 1,Land,0,0,913,1,785423154,Available,2023-02-09,2023-02-09,GRA Phase 1,Port Harcourt,Rivers,850000,1012730.2398685651,2024,July,-139199555
52,26,2027-01-06,104342250,Sale,1010,Duplex in Rumuola,Residential,5,3,209,6,101410540,Available,2026-03-07,2026-03-07,Rumuola,Obio-Akpor,Rivers,500000,499245.2153110048,2027,January,-2931710
53,27,2024-02-13,544341609,Rent,1014,Land in Rumuodara,Land,0,0,1049,5,481551839,Rented,2023-05-22,2023-05-22,Rumuodara,Obio-Akpor,Rivers,420000,518914.7845567207,2024,February,-62789770
54,28,2026-11-27,52122378,Sale,1009,Flat in Diobu,Residential,2,1,144,9,54817115,Available,2026-01-30,2026-01-30,Diobu,Port Harcourt,Rivers,350000,361960.9583333333,2026,November,2694737
55,28,2027-11-23,51445821,Lease,1028,Flat in Diobu,Residential,2,1,144,9,54817115,Available,2026-01-30,2026-01-30,Diobu,Port Harcourt,Rivers,350000,357262.6458333333,2027,November,3371294
56,28,2028-09-22,60606541,Sale,1002,Flat in Diobu,Residential,2,1,144,9,54817115,Available,2026-01-30,2026-01-30,Diobu,Port Harcourt,Rivers,350000,420878.75694444444,2028,September,-5789426
57,29,2026-03-02,198103155,Sale,1007,Duplex in Woji,Residential,6,3,282,7,187124192,Rented,2025-03-28,2025-03-28,Woji,Obio-Akpor,Rivers,550000,702493.4574468085,2026,March,-10978963
58,29,2027-01-26,215621511,Rent,1007,Duplex in Woji,Residential,6,3,282,7,187124192,Rented,2025-03-28,2025-03-28,Woji,Obio-Akpor,Rivers,550000,764615.2872340425,2027,January,-28497319
59,29,2027-08-14,201888685,Sale,1007,Duplex in Woji,Residential,6,3,282,7,187124192,Rented,2025-03-28,2025-03-28,Woji,Obio-Akpor,Rivers,550000,715917.3226950355,2027,August,-14764493
60,30,2023-08-10,107631715,Lease,1030,Duplex in Rumuodara,Residential,6,5,241,5,98583503,Sold,2023-05-12,2023-05-12,Rumuodara,Obio-Akpor,Rivers,420000,446604.6265560166,2023,August,-9048212
61,30,2024-07-14,107108490,Lease,1030,Duplex in Rumuodara,Residential,6,5,241,5,98583503,Sold,2023-05-12,2023-05-12,Rumuodara,Obio-Akpor,Rivers,420000,444433.5684647303,2024,July,-8524987
62,30,2025-01-24,109169879,Lease,1015,Duplex in Rumuodara,Residential,6,5,241,5,98583503,Sold,2023-05-12,2023-05-12,Rumuodara,Obio-Akpor,Rivers,420000,452987.0497925311,2025,January,-10586376
63,31,2026-10-24,448357516,Rent,1029,Land in Rumuokoro,Land,0,0,902,4,457433372,Available,2026-04-20,2026-04-20,Rumuokoro,Obio-Akpor,Rivers,450000,497070.41685144126,2026,October,9075856
64,31,2027-01-12,520324282,Rent,1016,Land in Rumuokoro,Land,0,0,902,4,457433372,Available,2026-04-20,2026-04-20,Rumuokoro,Obio-Akpor,Rivers,450000,576856.1884700665,2027,January,-62890910
65,32,2023-09-12,202596797,Lease,1002,Land in Rumuokoro,Land,0,0,372,4,201536287,Available,2023-05-01,2023-05-01,Rumuokoro,Obio-Akpor,Rivers,450000,544615.0456989247,2023,September,-1060510
66,32,2024-02-02,227740222,Sale,1009,Land in Rumuokoro,Land,0,0,372,4,201536287,Available,2023-05-01,2023-05-01,Rumuokoro,Obio-Akpor,Rivers,450000,612204.8978494623,2024,February,-26203935
67,33,2024-04-16,285988663,Lease,1005,Land in D-Line,Land,0,0,332,10,263437675,Rented,2023-05-26,2023-05-26,D-Line,Port Harcourt,Rivers,620000,861411.6355421686,2024,April,-22550988
68,33,2024-09-10,265276343,Sale,1016,Land in D-Line,Land,0,0,332,10,263437675,Rented,2023-05-26,2023-05-26,D-Line,Port Harcourt,Rivers,620000,799025.1295180722,2024,September,-1838668
69,33,2025-03-31,266897554,Lease,1024,Land in D-Line,Land,0,0,332,10,263437675,Rented,2023-05-26,2023-05-26,D-Line,Port Harcourt,Rivers,620000,803908.2951807228,2025,March,-3459879
70,34,2026-10-01,72910982,Lease,1006,Flat in Ada George,Residential,3,2,145,8,76052424,Available,2026-01-09,2026-01-09,Ada George,Obio-Akpor,Rivers,480000,502834.35862068966,2026,October,3141442
71,34,2027-08-06,78038502,Rent,1021,Flat in Ada George,Residential,3,2,145,8,76052424,Available,2026-01-09,2026-01-09,Ada George,Obio-Akpor,Rivers,480000,538196.5655172414,2027,August,-1986078
72,35,2024-03-12,214752708,Sale,1027,Commercial in Rumuokoro,Commercial,0,2,342,4,192951893,Available,2024-01-25,2024-01-25,Rumuokoro,Obio-Akpor,Rivers,450000,627931.8947368421,2024,March,-21800815
73,35,2024-04-14,204985737,Rent,1008,Commercial in Rumuokoro,Commercial,0,2,342,4,192951893,Available,2024-01-25,2024-01-25,Rumuokoro,Obio-Akpor,Rivers,450000,599373.5,2024,April,-12033844
74,35,2024-07-30,183792863,Rent,1015,Commercial in Rumuokoro,Commercial,0,2,342,4,192951893,Available,2024-01-25,2024-01-25,Rumuokoro,Obio-Akpor,Rivers,450000,537406.0321637427,2024,July,9159030
75,36,2026-05-08,646090933,Rent,1030,Land in Town,Land,0,0,974,12,601936716,Sold,2025-05-17,2025-05-17,Town,Port Harcourt,Rivers,580000,663337.7135523614,2026,May,-44154217
76,36,2027-02-11,571704781,Rent,1018,Land in Town,Land,0,0,974,12,601936716,Sold,2025-05-17,2025-05-17,Town,Port Harcourt,Rivers,580000,586965.8942505134,2027,February,30231935
77,36,2027-03-21,658464201,Lease,1018,Land in Town,Land,0,0,974,12,601936716,Sold,2025-05-17,2025-05-17,Town,Port Harcourt,Rivers,580000,676041.27412731,2027,March,-56527485
78,37,2024-05-03,260273145,Rent,1014,Commercial in Rumuokoro,Commercial,0,1,444,4,235110203,Available,2023-07-21,2023-07-21,Rumuokoro,Obio-Akpor,Rivers,450000,586200.777027027,2024,May,-25162942
79,38,2024-04-18,85413718,Rent,1005,Commercial in Rumuola,Commercial,0,3,155,6,75510432,Rented,2024-01-25,2024-01-25,Rumuola,Obio-Akpor,Rivers,500000,551056.2451612903,2024,April,-9903286
80,39,2026-05-31,145530411,Lease,1009,Commercial in Rumuola,Commercial,0,2,316,6,148795554,Available,2025-08-05,2025-08-05,Rumuola,Obio-Akpor,Rivers,500000,460539.2753164557,2026,May,3265143
81,39,2026-08-09,158562593,Lease,1015,Commercial in Rumuola,Commercial,0,2,316,6,148795554,Available,2025-08-05,2025-08-05,Rumuola,Obio-Akpor,Rivers,500000,501780.35759493674,2026,August,-9767039
82,39,2027-01-01,161603749,Sale,1021,Commercial in Rumuola,Commercial,0,2,316,6,148795554,Available,2025-08-05,2025-08-05,Rumuola,Obio-Akpor,Rivers,500000,511404.2689873418,2027,January,-12808195
83,40,2026-03-19,551201940,Lease,1013,Land in D-Line,Land,0,0,753,10,585447632,Available,2026-02-01,2026-02-01,D-Line,Port Harcourt,Rivers,620000,732007.8884462152,2026,March,34245692
84,40,2026-05-16,646372810,Rent,1006,Land in D-Line,Land,0,0,753,10,585447632,Available,2026-02-01,2026-02-01,D-Line,Port Harcourt,Rivers,620000,858396.8260292165,2026,May,-60925178
85,40,2027-01-23,639914022,Lease,1019,Land in D-Line,Land,0,0,753,10,585447632,Available,2026-02-01,2026-02-01,D-Line,Port Harcourt,Rivers,620000,849819.4183266932,2027,January,-54466390
86,41,2023-11-27,664470069,Sale,1007,Land in Rumuokoro,Land,0,0,967,4,587296383,Available,2023-01-31,2023-01-31,Rumuokoro,Obio-Akpor,Rivers,450000,687145.8831437435,2023,November,-77173686
87,42,2025-01-27,56695529,Sale,1030,Flat in Rumuokoro,Residential,2,1,112,4,55078156,Sold,2024-03-13,2024-03-13,Rumuokoro,Obio-Akpor,Rivers,450000,506210.08035714284,2025,January,-1617373
88,42,2025-07-19,61284510,Rent,1022,Flat in Rumuokoro,Residential,2,1,112,4,55078156,Sold,2024-03-13,2024-03-13,Rumuokoro,Obio-Akpor,Rivers,450000,547183.125,2025,July,-6206354
89,42,2026-01-26,49391712,Sale,1019,Flat in Rumuokoro,Residential,2,1,112,4,55078156,Sold,2024-03-13,2024-03-13,Rumuokoro,Obio-Akpor,Rivers,450000,440997.4285714286,2026,January,5686444
90,43,2025-10-29,303321402,Lease,1006,Land in Woji,Land,0,0,468,7,267563840,Sold,2025-03-10,2025-03-10,Woji,Obio-Akpor,Rivers,550000,648122.6538461539,2025,October,-35757562
91,43,2026-09-14,308351452,Lease,1022,Land in Woji,Land,0,0,468,7,267563840,Sold,2025-03-10,2025-03-10,Woji,Obio-Akpor,Rivers,550000,658870.6239316239,2026,September,-40787612
92,43,2027-04-01,299074206,Rent,1005,Land in Woji,Land,0,0,468,7,267563840,Sold,2025-03-10,2025-03-10,Woji,Obio-Akpor,Rivers,550000,639047.4487179487,2027,April,-31510366
93,44,2026-04-23,227350522,Lease,1002,Commercial in Town,Commercial,0,3,316,12,219623645,Rented,2026-02-12,2026-02-12,Town,Port Harcourt,Rivers,580000,719463.6772151899,2026,April,-7726877
94,44,2026-09-18,241917348,Lease,1020,Commercial in Town,Commercial,0,3,316,12,219623645,Rented,2026-02-12,2026-02-12,Town,Port Harcourt,Rivers,580000,765561.2278481013,2026,September,-22293703
95,44,2027-08-18,232328161,Lease,1001,Commercial in Town,Commercial,0,3,316,12,219623645,Rented,2026-02-12,2026-02-12,Town,Port Harcourt,Rivers,580000,735215.6993670886,2027,August,-12704516
96,45,2024-02-05,86067718,Rent,1013,Commercial in Rumuokoro,Commercial,0,2,197,4,88504074,Rented,2023-04-30,2023-04-30,Rumuokoro,Obio-Akpor,Rivers,450000,436891.9695431472,2024,February,2436356
97,45,2024-12-30,97071938,Sale,1025,Commercial in Rumuokoro,Commercial,0,2,197,4,88504074,Rented,2023-04-30,2023-04-30,Rumuokoro,Obio-Akpor,Rivers,450000,492750.9543147208,2024,December,-8567864
98,46,2023-06-19,553683295,Sale,1013,Land in Woji,Land,0,0,1065,7,589734508,Rented,2023-04-13,2023-04-13,Woji,Obio-Akpor,Rivers,550000,519890.41784037556,2023,June,36051213
99,47,2023-09-30,93543388,Lease,1012,Commercial in Rumuola,Commercial,0,2,129,6,85810119,Available,2023-06-14,2023-06-14,Rumuola,Obio-Akpor,Rivers,500000,725142.5426356589,2023,September,-7733269
100,47,2023-11-01,96644230,Lease,1012,Commercial in Rumuola,Commercial,0,2,129,6,85810119,Available,2023-06-14,2023-06-14,Rumuola,Obio-Akpor,Rivers,500000,749180.0775193798,2023,November,-10834111
101,47,2024-01-22,85333921,Sale,1014,Commercial in Rumuola,Commercial,0,2,129,6,85810119,Available,2023-06-14,2023-06-14,Rumuola,Obio-Akpor,Rivers,500000,661503.2635658914,2024,January,476198
102,48,2025-02-12,692467243,Sale,1003,Land in GRA Phase 1,Land,0,0,909,1,683007480,Sold,2024-04-26,2024-04-26,GRA Phase 1,Port Harcourt,Rivers,850000,761790.1463146314,2025,February,-9459763
103,48,2025-04-30,733253533,Lease,1028,Land in GRA Phase 1,Land,0,0,909,1,683007480,Sold,2024-04-26,2024-04-26,GRA Phase 1,Port Harcourt,Rivers,850000,806659.5522552255,2025,April,-50246053
104,48,2025-10-26,717086600,Sale,1024,Land in GRA Phase 1,Land,0,0,909,1,683007480,Sold,2024-04-26,2024-04-26,GRA Phase 1,Port Harcourt,Rivers,850000,788874.1474147415,2025,October,-34079120
105,49,2027-03-20,714799058,Rent,1013,Land in Old GRA,Land,0,0,883,3,687403260,Available,2026-05-02,2026-05-02,Old GRA,Port Harcourt,Rivers,800000,809511.9569648925,2027,March,-27395798
106,50,2026-09-03,253070055,Sale,1003,Land in Borokiri,Land,0,0,729,11,257778755,Rented,2026-03-03,2026-03-03,Borokiri,Port Harcourt,Rivers,300000,347146.85185185185,2026,September,4708700
107,50,2027-02-21,261263668,Lease,1026,Land in Borokiri,Land,0,0,729,11,257778755,Rented,2026-03-03,2026-03-03,Borokiri,Port Harcourt,Rivers,300000,358386.37585733883,2027,February,-3484913
108,51,2025-08-24,171771143,Lease,1020,Duplex in Ada George,Residential,5,3,340,8,158196773,Available,2025-03-21,2025-03-21,Ada George,Obio-Akpor,Rivers,480000,505209.24411764706,2025,August,-13574370
109,51,2026-05-15,155659664,Lease,1001,Duplex in Ada George,Residential,5,3,340,8,158196773,Available,2025-03-21,2025-03-21,Ada George,Obio-Akpor,Rivers,480000,457822.5411764706,2026,May,2537109
110,52,2027-02-09,149462753,Lease,1015,Duplex in Old GRA,Residential,6,4,217,3,148368581,Available,2026-02-27,2026-02-27,Old GRA,Port Harcourt,Rivers,800000,688768.4470046083,2027,February,-1094172
111,52,2028-02-07,172031385,Sale,1010,Duplex in Old GRA,Residential,6,4,217,3,148368581,Available,2026-02-27,2026-02-27,Old GRA,Port Harcourt,Rivers,800000,792771.3594470046,2028,February,-23662804
112,53,2024-11-06,293168170,Sale,1013,Land in Diobu,Land,0,0,850,9,284581703,Available,2024-06-27,2024-06-27,Diobu,Port Harcourt,Rivers,350000,344903.7294117647,2024,November,-8586467
113,53,2025-05-04,333739464,Rent,1016,Land in Diobu,Land,0,0,850,9,284581703,Available,2024-06-27,2024-06-27,Diobu,Port Harcourt,Rivers,350000,392634.6635294118,2025,May,-49157761
114,53,2025-10-05,328321777,Lease,1027,Land in Diobu,Land,0,0,850,9,284581703,Available,2024-06-27,2024-06-27,Diobu,Port Harcourt,Rivers,350000,386260.91411764704,2025,October,-43740074
115,54,2025-09-12,382207114,Sale,1019,Duplex in GRA Phase 2,Residential,3,3,369,2,336931759,Rented,2025-06-16,2025-06-16,GRA Phase 2,Port Harcourt,Rivers,920000,1035791.6368563685,2025,September,-45275355
116,54,2026-01-12,391731319,Rent,1001,Duplex in GRA Phase 2,Residential,3,3,369,2,336931759,Rented,2025-06-16,2025-06-16,GRA Phase 2,Port Harcourt,Rivers,920000,1061602.4905149052,2026,January,-54799560
117,55,2024-02-17,288736225,Lease,1027,Duplex in GRA Phase 2,Residential,3,4,233,2,282840517,Sold,2023-10-03,2023-10-03,GRA Phase 2,Port Harcourt,Rivers,920000,1239211.2660944206,2024,February,-5895708
118,55,2024-10-13,318974537,Sale,1021,Duplex in GRA Phase 2,Residential,3,4,233,2,282840517,Sold,2023-10-03,2023-10-03,GRA Phase 2,Port Harcourt,Rivers,920000,1368989.4291845493,2024,October,-36134020
119,56,2024-03-02,498347407,Lease,1003,Land in GRA Phase 2,Land,0,0,409,2,459516274,Sold,2023-11-15,2023-11-15,GRA Phase 2,Port Harcourt,Rivers,920000,1218453.3178484107,2024,March,-38831133
120,56,2025-02-01,485195620,Lease,1018,Land in GRA Phase 2,Land,0,0,409,2,459516274,Sold,2023-11-15,2023-11-15,GRA Phase 2,Port Harcourt,Rivers,920000,1186297.3594132029,2025,February,-25679346
121,57,2025-02-23,124002800,Lease,1023,Duplex in Diobu,Residential,4,4,284,9,118658607,Rented,2024-06-24,2024-06-24,Diobu,Port Harcourt,Rivers,350000,436629.57746478874,2025,February,-5344193
122,57,2025-12-24,134091794,Sale,1004,Duplex in Diobu,Residential,4,4,284,9,118658607,Rented,2024-06-24,2024-06-24,Diobu,Port Harcourt,Rivers,350000,472154.2042253521,2025,December,-15433187
123,57,2026-07-23,128533044,Rent,1002,Duplex in Diobu,Residential,4,4,284,9,118658607,Rented,2024-06-24,2024-06-24,Diobu,Port Harcourt,Rivers,350000,452581.1408450704,2026,July,-9874437
124,58,2026-05-13,91407882,Lease,1026,Commercial in Old GRA,Commercial,0,3,126,3,90331842,Sold,2025-05-17,2025-05-17,Old GRA,Port Harcourt,Rivers,800000,725459.380952381,2026,May,-1076040
125,58,2026-06-17,87116396,Sale,1017,Commercial in Old GRA,Commercial,0,3,126,3,90331842,Sold,2025-05-17,2025-05-17,Old GRA,Port Harcourt,Rivers,800000,691399.9682539683,2026,June,3215446
126,58,2027-04-28,102683624,Rent,1008,Commercial in Old GRA,Commercial,0,3,126,3,90331842,Sold,2025-05-17,2025-05-17,Old GRA,Port Harcourt,Rivers,800000,814949.3968253968,2027,April,-12351782
127,59,2024-06-18,118357652,Rent,1023,Land in Diobu,Land,0,0,303,9,107829335,Rented,2023-09-25,2023-09-25,Diobu,Port Harcourt,Rivers,350000,390619.31353135314,2024,June,-10528317
128,59,2025-01-10,127670936,Lease,1004,Land in Diobu,Land,0,0,303,9,107829335,Rented,2023-09-25,2023-09-25,Diobu,Port Harcourt,Rivers,350000,421356.22442244226,2025,January,-19841601
